y,predictor,x_predictor,sh1998,sea2022,change,percent,y_sh1998,y_sea2022,x_lab_sh1998,x_sh1998,x_sea2022,x_lab_sea2022,x_change,x_percent
11,Structured Interviews,1,0.51,0.42,-0.09,-22%,11.51,11.42,4,4.25,4.75,5,6,7
10,Job Knowledge Tests,1,0.48,0.4,-0.08,-20%,10.48,10.4,4,4.25,4.75,5,6,7
9,Empirical Biodata,1,0.35,0.38,0.03,10%,9.35,9.38,4,4.25,4.75,5,6,7
8,Work Samples,1,0.54,0.33,-0.21,-46%,8.54,8.33,4,4.25,4.75,5,6,7
7,Cognitive Ability Tests,1,0.51,0.31,-0.2,-45%,7.51,7.31,4,4.25,4.75,5,6,7
6,Integrity Tests,1,0.41,0.31,-0.1,-27%,6.41,6.31,4,4.25,4.75,5,6,7
5,Assessment Centers,1,0.37,0.29,-0.08,-24%,5.37,5.29,4,4.25,4.75,5,6,7
4,Vocational Interests,1,0.1,0.24,0.14,146%,4.1,4.24,4,4.25,4.75,5,6,7
3,Conscientiousness,1,0.31,0.19,-0.12,-41%,3.31,3.19,4,4.25,4.75,5,6,7
2,Unstructured Interviews,1,0.38,0.19,-0.19,-53%,2.38,2.19,4,4.25,4.75,5,6,7
1,Job Experience (Tenure),1,0.18,0.07,-0.11,-62%,1.18,1.07,4,4.25,4.75,5,6,7
